type_question,question,format_answer,full_answer
Образование. Детские сады и Школы,И где этот сервис? Его нет в приложении.,"Не знаем, ищем данные в мини-аппе","Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Проверьте, пожалуйста, ещё раз, обновлено ли приложение ВКонтакте до последней версии. Если нет, советуем обновить. Тогда все сервисы будут Вам доступны. 

Если ошибка сохраниться, напишите нам, пожалуйста, ещё раз."
Раздельный сбор,"Здравствуйте
Я хотел бы узнать, куда можно утилизировать используемые вейпы ?
Я обычно их просто выбрасываю, но в них же тоже аккумулятор","Не знаем, ищем данные в мини-аппе","Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Одноразовые сигареты и электронные испарители можно утилизировать с помощью пунктов или контейнеров для приёма батареек.

Некоторые торговые сети устанавливают контейнеры специально для курительных устройств. К сожалению, данных о таких пунктах у нас нет."
Прочее,"Доброй ночи! Давайте будем честно себя вести, иначе ""задам вопрос"" я НЕ здесь! Надоели со своей нечестностью! Наша страна - Россия, давайте к ней бережно относиться! Всюду просто ""подставы""! Вы больны что ли! Я вылечу тогда!","Не знаем, ищем данные именно в мини-аппе","Добрый день, [имя]!

Просим уточнить, что именно по мнению человека нечестно в работе нашего приложения?

Заверяем его, что именно его мнение поможет нам улучшить мини-апп."
"Благоустройство, ЖКХ и уборка дорог",Хотела узнать график уборки парадных в доме.,шаблонный,"Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Советуем обратиться в управляющую компанию вашего дома. УК — более надёжный источник в данном вопросе.

Мы представляем группу разработчиков мини-приложения «Я здесь живу» и можем только подсказать, куда нужно обращаться."
"Работа мини-аппа (найти, отписаться, указать адрес и т.п.)",а как с ответами на вопросы? Тишина,шаблонный,"Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Мы отвечаем на все вопросы и с радостью общаемся на любые темы. 

Дело только в том, что делаем мы в это в рабочее время. :)"
Образование. Детские сады и Школы,"здравствуйте, я обновила недавно вк и в списках данного приложения нет, нашла его через вашу группу по ссылке. Проверьте пожалуйста. И к слову, оно не работает пишет ""ошибка запросов данных сада""","Не знаем, ищем данные в мини-аппе","Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Проверьте, пожалуйста, ещё раз, обновлено ли приложение ВКонтакте до последней версии. Если нет, советуем обновить. Тогда все сервисы будут Вам доступны. 

Если ошибка сохраниться, напишите нам, пожалуйста, ещё раз."
Раздельный сбор,"ищем решение по раздельному сбору мусора для Массива Дунай, более 100 СНТ, более 10 000 участов по 6 соток, готовы сортировать мусор в отдельные баки. Помогите наладить работу в летний период. Из отходов пластик и стекло, иногда заказываем вывоз покрышек. остальное сжигается на участках или сдаётся в пугкты приёма. Нужно наладить работу регионального оператора!","Не знаем, ищем данные в мини-аппе","Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Мы передали Ваш вопрос нашим партнёрам, движению Раздельный сбор. Коллеги советует заполнить заявку на консультацию председателя массива (или самого активного жителя массива) со ссылкой на сайт.

Эксперт Раздельного сбора изучит Вашу ситуацию и свяжется."
"Благоустройство, ЖКХ и уборка дорог","Добрый день,как подать жалобу на неработающий домофон?",шаблонизированный,"Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Сожалеем, что так случилось. И прежде всего советуем обратиться в управляющую компанию вашего дома. 

Если по какой-то причине УК не сможет решить проблему, Вы можете оставить заявку на сайте портала «Наш Санкт-Петербург»: https://gorod.gov.spb.ru/
Это общегородской портал, где жители рассказывают о проблемах ЖКХ и благоустройства, а ответственные службы принимают во внимание проблему и решают её.

Мы представляем группу разработчиков мини-приложения «Я здесь живу» и можем только подсказать, куда нужно обращаться."
"Работа мини-аппа (найти, отписаться, указать адрес и т.п.)","Получается, что из ОК я уже попала в это приложение?","Не знаем, ищем данные именно в мини-аппе","Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Предполагаем, что Вы  увидели публикацию о нашем мини-приложении в сообществе Правительства Санкт-Петербурга в ОК. Так что да, Вы попали во ВКонтакте и «Я здесь живу» через Одноклассники.

Дело в том, что «Я здесь живу» находится внутри ВКонтакте, то есть дополнительно скачивать ничего не нужно.

Чтобы посмотреть приложение и воспользоваться сервисами в нём, Вы можете нажать на кнопку «Я здесь живу»."
Образование. Детские сады и Школы,А выборгский район не подаёт сведения или просто нет мест? может добавить на карту все сады для большей информативности,"Не знаем, ищем данные в мини-аппе","Добрый день/ Добрый вечер/ Здравствуйте, [имя]!

Проверили по базам данных и, к сожалению, на текущий момент в Выборгском районе нет мест.

В такой ситуации рекомендуем вам обратиться в комиссию по комплектованию Выборгского района со ссылкой на сайт."
